event_type,attendance,location_type,weather_factor,density_veh_per_km,queue_length_veh,label
Sporting Event,8179,Suburban,26.8416,91.25,60.61,Gridlock
Concert,81123,Suburban,274.8305,9.59,2.88,Free-flow
Parade,78092,Urban,168.7023,29.21,8.44,Moderate
Parade,84931,Suburban,76.9506,58.73,25.05,Heavy
Construction,556,Suburban,23.0462,94.68,65.06,Gridlock
Accident,652,Highway,266.6326,11.24,1.76,Free-flow
Concert,17961,Urban,269.9514,7.78,0.83,Free-flow
Construction,981,Urban,284.2388,10.24,1.87,Free-flow
Other,20,Urban,27.1415,90.04,62.96,Gridlock
Construction,128,Urban,71.6603,55.54,25.21,Heavy
Parade,74834,Urban,277.8592,9.95,3.77,Free-flow
Concert,32190,Urban,170.9241,32.93,6.29,Moderate
Other,752,Urban,91.0788,59.97,28.22,Heavy
Other,928,Suburban,307.7812,7.91,2.78,Free-flow
Concert,25452,Urban,63.4213,60.61,22.75,Heavy
Parade,30985,Urban,152.539,33.6,10.34,Moderate
Construction,838,Suburban,80.6004,62.82,24.98,Heavy
Construction,353,Urban,170.2684,29.8,12.91,Moderate
Other,418,Urban,191.2303,35.47,11.9,Moderate
Construction,655,Suburban,75.0845,65.72,27.53,Heavy
Accident,567,Highway,271.3784,9.02,2.68,Free-flow
Accident,484,Rural,305.9528,7.69,2.8,Free-flow
Construction,466,Highway,81.0729,62.85,22.59,Heavy
Accident,445,Suburban,18.0015,93.07,65.16,Gridlock
Accident,564,Suburban,268.0987,9.89,2.22,Free-flow
Accident,975,Rural,98.9043,56.18,23.58,Heavy
Construction,109,Highway,143.6513,29.55,11.54,Moderate
Accident,403,Highway,106.1239,52.98,22.03,Heavy
Sporting Event,43444,Urban,160.4041,28.86,12.44,Moderate
Construction,939,Urban,305.1303,9.84,1.08,Free-flow
Other,569,Urban,142.0402,26.63,13.48,Moderate
Concert,4432,Suburban,24.5876,85.97,58.64,Gridlock
Sporting Event,96932,Urban,269.4366,9.34,1.94,Free-flow
Sporting Event,68204,Highway,127.1264,34.31,8.18,Moderate
Parade,93012,Urban,20.8075,93.54,64.96,Gridlock
Parade,98948,Suburban,170.5104,23.71,11.58,Moderate
Concert,37257,Urban,294.784,9.46,1.88,Free-flow
Parade,98667,Highway,150.0953,36.31,9.91,Moderate
Accident,710,Highway,81.2603,65.35,25.4,Heavy
Sporting Event,3667,Suburban,282.924,9.24,2.78,Free-flow
Accident,522,Suburban,315.9786,13.24,1.59,Free-flow
Accident,857,Highway,162.4869,28.78,10.65,Moderate
Construction,432,Suburban,84.2863,62.79,23.31,Heavy
Accident,856,Urban,99.6286,59.4,23.88,Heavy
Construction,261,Urban,272.7349,13.71,2.94,Moderate
Sporting Event,69859,Highway,18.6802,88.82,63.84,Gridlock
Accident,707,Highway,270.0277,10.1,2.83,Free-flow
Sporting Event,70906,Suburban,25.7373,88.54,61.03,Gridlock
Concert,74491,Urban,145.3567,23.93,12.06,Moderate
Accident,78,Suburban,22.4461,90.81,56.45,Gridlock
Concert,53906,Suburban,20.7402,90.26,62.28,Gridlock
Accident,731,Urban,314.87,11.31,1.75,Free-flow
Sporting Event,83290,Rural,74.9921,62.66,26.04,Heavy
Accident,218,Urban,285.939,8.72,0.7,Free-flow
Accident,833,Urban,288.2612,7.85,1.57,Free-flow
Accident,833,Suburban,21.7302,90.4,60.09,Gridlock
Accident,295,Urban,272.2294,8.88,1.21,Free-flow
Sporting Event,8795,Highway,277.0077,10.34,2.84,Free-flow
Parade,9793,Suburban,285.8501,9.46,0.55,Free-flow
Accident,701,Suburban,281.5797,9.19,3.11,Free-flow
Sporting Event,95777,Suburban,160.8299,34.79,8.04,Moderate
Accident,809,Rural,266.3819,12.35,2.85,Free-flow
Accident,478,Urban,20.7062,87.62,57.02,Gridlock
Accident,958,Rural,178.9278,28.17,9.11,Moderate
Construction,372,Highway,269.0925,9.16,1.24,Free-flow
Accident,892,Urban,63.1617,63.79,22.29,Heavy
Concert,93594,Highway,183.1718,31.0,10.25,Moderate
Sporting Event,34573,Urban,296.1623,7.61,1.62,Free-flow
Construction,465,Urban,78.094,53.24,22.22,Heavy
Concert,80728,Urban,64.4401,65.57,23.69,Heavy
Construction,759,Urban,78.7781,58.08,22.17,Heavy
Sporting Event,73648,Suburban,291.0726,10.67,3.04,Free-flow
Accident,846,Urban,21.7706,90.99,60.15,Gridlock
Parade,26500,Rural,27.1734,84.87,53.03,Gridlock
Construction,781,Highway,159.1837,29.34,10.62,Moderate
Accident,961,Suburban,247.6332,12.87,1.77,Free-flow
Construction,475,Suburban,66.3033,67.79,27.16,Heavy
Construction,870,Suburban,164.4562,28.11,12.0,Moderate
Accident,127,Urban,153.1908,27.66,7.63,Moderate
Accident,975,Rural,277.1813,8.23,2.7,Free-flow
Construction,462,Suburban,156.8752,27.36,10.12,Moderate
Accident,891,Highway,159.8053,27.3,9.19,Moderate
Construction,640,Highway,80.1478,59.62,30.53,Heavy
Concert,9464,Urban,27.5094,91.87,52.83,Gridlock
Accident,591,Urban,24.9407,88.93,54.81,Gridlock
Construction,904,Urban,19.9883,89.71,57.75,Gridlock
Other,879,Urban,192.5861,33.45,11.71,Moderate
Construction,708,Rural,22.5293,87.18,56.01,Gridlock
Parade,60736,Suburban,23.1727,87.82,61.1,Gridlock
Sporting Event,79907,Urban,75.3146,63.03,25.56,Heavy
Parade,11230,Urban,289.5246,12.4,1.75,Free-flow
Other,290,Urban,177.6279,33.01,11.42,Moderate
Parade,88400,Urban,28.7483,93.92,60.98,Gridlock
Concert,59430,Suburban,294.0257,5.68,1.63,Free-flow
Construction,104,Suburban,159.3776,35.42,10.5,Moderate
Construction,782,Urban,77.8853,60.1,24.06,Heavy
Accident,604,Urban,72.8072,58.48,24.44,Heavy
Construction,352,Urban,165.3263,28.94,9.26,Moderate
Accident,616,Suburban,165.6555,31.28,10.81,Moderate
Concert,43324,Urban,65.0877,56.02,25.79,Heavy
Construction,242,Urban,23.8397,93.21,60.67,Gridlock
Sporting Event,27733,Urban,80.2469,63.06,24.4,Heavy
Other,323,Suburban,84.9605,58.39,21.43,Heavy
Parade,92913,Suburban,26.9132,91.37,61.0,Gridlock
Other,885,Suburban,158.8017,29.62,10.97,Moderate
Concert,37413,Suburban,140.5038,29.35,7.16,Moderate
Parade,15899,Suburban,68.9176,61.71,26.61,Heavy
Parade,16493,Urban,291.9885,7.97,2.41,Free-flow
Parade,9924,Urban,28.326,86.31,62.73,Gridlock
Parade,98396,Highway,23.3874,86.36,60.04,Gridlock
Sporting Event,22554,Suburban,23.5508,93.25,66.16,Gridlock
Accident,217,Suburban,187.6894,32.5,7.79,Moderate
Parade,80674,Suburban,25.9054,90.01,63.5,Heavy
Sporting Event,81491,Urban,73.2937,58.85,27.39,Heavy
Sporting Event,87836,Highway,273.0511,11.73,2.6,Free-flow
Concert,42131,Suburban,24.1596,83.78,62.09,Gridlock
Concert,39598,Suburban,27.2334,89.22,60.21,Gridlock
Accident,167,Suburban,27.1124,88.43,56.37,Gridlock
Accident,116,Urban,265.5703,6.52,2.52,Free-flow
Construction,57,Highway,79.1164,58.1,18.28,Heavy
Concert,23069,Highway,279.6665,13.26,1.7,Free-flow
Construction,96,Urban,22.8672,92.04,58.58,Gridlock
Accident,374,Urban,152.6016,34.75,8.59,Moderate
Other,613,Urban,76.4107,65.0,25.09,Heavy
Construction,285,Highway,62.2597,54.67,29.65,Heavy
Construction,257,Urban,284.8608,10.3,2.48,Free-flow
Sporting Event,36648,Highway,142.8297,29.53,9.26,Moderate
Accident,91,Suburban,77.8659,59.61,25.86,Heavy
Concert,74301,Urban,300.7684,7.04,1.14,Free-flow
Sporting Event,19314,Urban,286.7994,10.3,2.64,Free-flow
Concert,11940,Suburban,21.8429,84.92,61.89,Gridlock
Accident,435,Suburban,58.8888,65.88,26.42,Heavy
Concert,63175,Urban,151.9996,33.15,13.77,Moderate
Concert,46449,Highway,137.0311,29.0,10.01,Moderate
Concert,95865,Urban,296.4812,10.0,1.02,Free-flow
Sporting Event,37101,Urban,81.9884,60.53,25.0,Heavy
Construction,988,Highway,143.8374,29.96,8.61,Moderate
Construction,773,Suburban,163.4272,29.4,8.94,Moderate
Sporting Event,59625,Urban,78.5559,59.82,21.73,Heavy
Accident,988,Urban,162.8436,31.19,11.47,Moderate
Construction,265,Highway,94.382,54.48,29.74,Heavy
Construction,178,Suburban,172.5471,33.22,8.69,Moderate
Construction,840,Urban,68.3018,65.86,20.52,Heavy
Accident,565,Rural,159.7761,32.02,10.59,Moderate
Construction,181,Urban,172.6279,30.99,8.78,Moderate
Construction,826,Highway,20.3203,88.27,65.5,Gridlock
Construction,919,Highway,168.6761,24.93,12.25,Moderate
Sporting Event,70249,Suburban,29.3032,87.1,57.12,Gridlock
Other,767,Suburban,269.1191,9.82,0.23,Free-flow
Concert,8976,Urban,173.288,27.77,10.6,Moderate
Other,337,Urban,83.0687,58.37,23.89,Heavy
Accident,808,Urban,287.7786,7.42,0.23,Free-flow
Construction,824,Highway,22.7724,86.9,66.49,Gridlock
Construction,10,Urban,103.6357,55.0,23.29,Heavy
Concert,14063,Suburban,186.1053,32.87,9.42,Moderate
Construction,325,Suburban,263.9377,10.95,2.85,Free-flow
Accident,65,Urban,26.2518,92.26,55.61,Gridlock
Accident,119,Urban,282.4654,8.81,1.77,Free-flow
Parade,27310,Urban,57.7767,61.44,25.14,Heavy
Accident,524,Rural,167.3424,30.93,7.49,Moderate
Sporting Event,99589,Highway,24.5557,92.7,57.97,Gridlock
Concert,34723,Urban,282.8076,12.41,1.34,Free-flow
Construction,703,Rural,142.4935,28.09,12.05,Moderate
Construction,663,Rural,186.0303,29.97,12.74,Moderate
Parade,84896,Urban,266.5792,10.4,2.62,Free-flow
Accident,360,Highway,83.627,60.42,24.68,Heavy
Construction,8,Highway,160.5465,31.82,9.04,Moderate
Sporting Event,73096,Highway,29.0395,94.29,56.98,Gridlock
Other,884,Urban,274.8169,7.1,2.17,Free-flow
Other,131,Highway,80.5216,59.22,26.33,Heavy
Construction,738,Urban,18.0965,91.26,56.04,Gridlock
Concert,70792,Suburban,173.5451,27.18,9.53,Moderate
Accident,539,Urban,169.8815,25.16,8.39,Moderate
Accident,352,Suburban,23.4279,90.55,58.89,Gridlock
Concert,35780,Urban,276.5294,3.23,2.05,Free-flow
Concert,30861,Suburban,25.1186,88.52,65.58,Gridlock
Construction,425,Urban,288.3412,9.68,1.59,Free-flow
Accident,500,Urban,85.4363,60.55,26.67,Heavy
Sporting Event,11655,Urban,68.5091,59.87,22.87,Heavy
Construction,41,Urban,26.7309,87.79,59.77,Gridlock
Accident,438,Highway,26.6941,88.96,56.78,Gridlock
Other,225,Urban,282.4734,9.93,1.59,Free-flow
Other,957,Urban,68.4614,59.83,21.71,Heavy
Accident,474,Highway,293.1503,9.89,2.93,Free-flow
Construction,537,Rural,160.5409,30.4,8.6,Moderate
Concert,21260,Suburban,81.3218,64.93,31.19,Heavy
Concert,2332,Highway,84.2206,53.51,22.47,Heavy
Construction,723,Urban,172.0554,32.4,10.09,Moderate
Accident,953,Urban,278.5486,4.51,2.43,Free-flow
Parade,21703,Urban,286.2383,13.41,0.81,Free-flow
Sporting Event,54245,Urban,259.8457,12.08,1.81,Free-flow
Construction,239,Urban,83.786,59.41,20.29,Heavy
Accident,14,Urban,28.5069,86.88,59.66,Gridlock
Accident,42,Highway,282.5379,16.62,2.88,Free-flow
Construction,129,Urban,97.646,56.1,25.56,Heavy
Construction,328,Urban,25.8396,84.76,59.92,Gridlock
Accident,456,Urban,85.7792,61.68,23.45,Heavy
Sporting Event,77296,Highway,292.9438,8.93,2.74,Free-flow
Accident,518,Urban,71.0229,59.15,22.81,Heavy
Sporting Event,34210,Suburban,87.9058,59.26,26.75,Heavy
Sporting Event,64002,Highway,82.0656,56.5,25.9,Heavy
Concert,98040,Highway,272.3316,12.56,2.77,Free-flow
Concert,14675,Highway,154.1612,29.82,13.14,Moderate
Concert,15354,Suburban,23.681,94.43,54.29,Gridlock
Construction,1,Suburban,25.4087,86.38,58.66,Gridlock
Accident,647,Suburban,169.3155,27.74,7.63,Moderate
Construction,543,Highway,87.2899,58.79,26.43,Heavy
Accident,486,Suburban,71.5326,59.31,24.49,Heavy
Accident,932,Urban,279.6611,7.94,2.12,Free-flow
Accident,637,Urban,70.7228,62.47,23.92,Heavy
Construction,391,Urban,87.3408,57.66,23.18,Heavy
Sporting Event,69559,Urban,275.5628,9.2,1.45,Free-flow
Accident,446,Suburban,63.3669,62.89,22.13,Heavy
Concert,63638,Suburban,67.8389,63.45,24.9,Heavy
Other,248,Urban,150.722,31.96,12.16,Moderate
Accident,829,Highway,292.2371,11.14,1.41,Free-flow
Concert,70413,Highway,84.0687,61.56,22.16,Heavy
Parade,70490,Rural,295.5833,8.59,1.8,Free-flow
Accident,278,Rural,269.7425,7.2,4.77,Free-flow
Concert,9618,Highway,71.9536,55.74,26.59,Heavy
Sporting Event,14159,Urban,149.7562,27.99,11.04,Moderate
Construction,974,Rural,21.2451,87.29,58.15,Gridlock
Construction,259,Urban,167.0946,33.08,9.53,Moderate
Accident,930,Highway,172.4195,33.07,10.13,Moderate
Accident,165,Highway,170.7331,28.78,7.84,Moderate
Accident,264,Urban,276.7135,12.27,2.26,Free-flow
Construction,655,Urban,264.297,8.54,2.26,Free-flow
Construction,165,Highway,175.6312,28.56,8.97,Moderate
Accident,807,Highway,90.0721,62.73,28.26,Heavy
Accident,204,Rural,79.9001,59.74,26.21,Heavy
Sporting Event,13462,Suburban,285.6415,15.47,1.93,Free-flow
Sporting Event,22258,Urban,178.4313,27.12,10.66,Moderate
Accident,263,Highway,74.7918,62.4,23.81,Heavy
Parade,76017,Urban,286.9725,11.2,2.12,Free-flow
Sporting Event,31464,Highway,25.4261,87.59,62.84,Gridlock
Concert,60867,Highway,172.4259,31.52,7.24,Moderate
Accident,208,Urban,158.0363,30.55,10.06,Moderate
Accident,323,Urban,171.754,29.58,9.38,Moderate
Other,961,Suburban,28.0042,91.73,60.8,Gridlock
Sporting Event,9390,Highway,159.6966,28.85,7.34,Moderate
Concert,99863,Highway,265.5845,10.26,1.93,Free-flow
Accident,558,Suburban,84.1373,63.22,26.34,Heavy
Accident,188,Urban,165.5311,27.22,10.93,Moderate
Sporting Event,96392,Suburban,20.3905,90.2,54.5,Gridlock
Accident,467,Suburban,163.969,30.51,9.47,Moderate
Accident,663,Suburban,26.1382,91.9,56.18,Gridlock
Construction,197,Highway,25.9223,91.41,58.38,Gridlock
Accident,161,Suburban,73.6001,62.27,31.45,Heavy
Concert,20182,Urban,185.3802,29.71,9.52,Moderate
Parade,4583,Rural,25.7024,85.6,60.6,Gridlock
Parade,43747,Rural,69.0836,59.01,27.88,Heavy
Construction,635,Rural,140.1948,28.41,9.85,Moderate
Sporting Event,75114,Urban,280.2775,15.43,1.18,Free-flow
Parade,32662,Rural,67.0938,61.26,22.26,Heavy
Accident,399,Highway,27.9327,91.98,54.09,Gridlock
Sporting Event,97276,Urban,137.885,30.32,12.06,Moderate
Sporting Event,35498,Suburban,78.6951,55.09,23.74,Heavy
Other,921,Urban,151.8254,35.16,13.78,Moderate
Sporting Event,72169,Suburban,18.5395,96.31,58.27,Gridlock
Sporting Event,15485,Suburban,84.7583,64.96,25.43,Heavy
Accident,505,Urban,167.6383,25.22,10.31,Moderate
Construction,515,Highway,281.2325,8.09,2.25,Free-flow
Construction,737,Suburban,177.7212,31.48,7.35,Moderate
Construction,615,Urban,79.1028,62.91,25.87,Heavy
Construction,548,Urban,162.544,34.18,6.75,Moderate
Accident,392,Urban,265.6015,9.5,2.18,Free-flow
Construction,384,Suburban,270.7433,8.76,3.94,Free-flow
Other,137,Urban,285.9714,10.07,2.71,Free-flow
Sporting Event,99845,Rural,279.347,9.33,2.38,Free-flow
Accident,526,Highway,280.1324,13.76,2.01,Free-flow
Concert,60726,Suburban,82.767,60.99,26.19,Heavy
Construction,262,Suburban,63.273,59.67,26.71,Heavy
Sporting Event,71304,Urban,78.6264,59.74,24.96,Heavy
Accident,770,Urban,144.7996,31.93,10.04,Moderate
Concert,34695,Urban,64.4511,59.72,24.84,Heavy
Accident,537,Rural,270.3251,7.84,1.62,Free-flow
Accident,150,Urban,76.4191,59.99,25.68,Heavy
Construction,492,Highway,21.0965,88.9,58.62,Gridlock
Accident,507,Rural,91.7601,65.62,26.9,Heavy
Accident,485,Suburban,24.7266,92.48,65.53,Gridlock
Construction,537,Urban,24.4975,83.17,63.44,Gridlock
Construction,416,Urban,20.732,87.56,60.84,Gridlock
Accident,334,Urban,69.5421,59.37,26.11,Heavy
Accident,744,Highway,277.5345,11.33,2.53,Free-flow
Concert,25042,Urban,85.5529,63.27,23.95,Heavy
Construction,834,Urban,79.0226,59.62,23.9,Heavy
Concert,25378,Rural,271.7828,11.02,2.45,Free-flow
Accident,950,Urban,160.1527,23.14,10.3,Moderate
Accident,657,Urban,102.6822,59.34,24.43,Heavy
Accident,131,Urban,166.5156,30.14,8.23,Moderate
Parade,57710,Rural,269.3181,10.75,1.68,Free-flow
Sporting Event,44898,Suburban,60.0253,59.32,25.5,Heavy
Sporting Event,62501,Suburban,270.6353,11.29,2.42,Free-flow
Accident,183,Urban,267.7712,9.16,2.59,Free-flow
Construction,55,Suburban,21.8101,94.17,56.37,Gridlock
Other,876,Suburban,28.6091,89.76,58.57,Gridlock
Accident,276,Highway,91.7226,58.46,25.4,Heavy
Concert,84818,Suburban,25.6023,91.55,55.59,Gridlock
Sporting Event,15593,Rural,88.1146,62.79,25.29,Heavy
Sporting Event,17008,Urban,287.8728,5.97,2.56,Free-flow
Construction,610,Urban,159.871,29.13,11.2,Moderate
Concert,69318,Suburban,73.4771,59.89,21.94,Heavy
Accident,973,Urban,157.2939,29.81,11.38,Moderate
Sporting Event,79373,Urban,276.2145,11.03,1.87,Free-flow
Construction,423,Urban,287.2822,12.16,2.48,Free-flow
Accident,498,Urban,21.1575,91.02,55.02,Gridlock
Accident,484,Urban,23.3618,85.78,65.95,Gridlock
Sporting Event,55967,Suburban,153.8427,33.63,11.08,Moderate
Parade,7301,Urban,88.7903,57.21,26.38,Heavy
Construction,855,Suburban,79.5363,61.66,22.22,Heavy
Accident,651,Suburban,61.6431,57.04,26.12,Heavy
Parade,30341,Highway,58.5546,59.3,24.98,Heavy
Sporting Event,95305,Urban,150.4224,31.07,6.76,Moderate
Sporting Event,8336,Suburban,295.3706,9.42,1.53,Free-flow
Construction,576,Urban,171.4535,26.94,8.99,Moderate
Construction,641,Suburban,168.3291,27.8,6.15,Moderate
Other,29,Highway,263.1458,9.27,2.33,Free-flow
Construction,321,Highway,27.4966,93.54,63.56,Gridlock
Accident,359,Rural,145.1678,30.2,9.18,Moderate
Sporting Event,61744,Highway,300.5596,13.12,1.37,Free-flow
Sporting Event,63478,Suburban,168.081,27.26,9.51,Moderate
Accident,673,Urban,25.6843,96.65,57.15,Gridlock
Parade,26945,Urban,147.9829,31.18,10.4,Moderate
Sporting Event,85029,Urban,177.1897,29.7,9.38,Moderate
Sporting Event,50654,Urban,156.6845,29.91,6.61,Moderate
Construction,759,Highway,158.6675,33.3,10.46,Moderate
Construction,880,Urban,169.3334,31.72,13.69,Moderate
Other,36,Suburban,291.7548,10.53,2.35,Free-flow
Accident,617,Highway,21.5813,90.3,57.77,Gridlock
Construction,292,Urban,279.8653,12.55,1.82,Free-flow
Concert,17642,Highway,269.1737,12.77,2.53,Free-flow
Construction,668,Suburban,158.0704,30.92,8.22,Moderate
Construction,875,Rural,84.5263,55.59,24.23,Heavy
Accident,969,Urban,143.6285,24.93,10.12,Moderate
Accident,115,Urban,156.876,25.68,9.66,Moderate
Accident,102,Suburban,164.8986,27.49,7.63,Moderate
Sporting Event,55329,Suburban,165.3548,29.01,8.32,Moderate
Parade,73496,Suburban,138.6349,30.99,7.98,Moderate
Sporting Event,96962,Highway,150.8768,26.37,9.81,Moderate
Concert,62632,Highway,264.8727,12.45,1.24,Moderate
Sporting Event,36931,Urban,266.1683,10.74,1.8,Free-flow
Construction,217,Urban,20.3324,90.94,61.67,Gridlock
Construction,640,Urban,272.1812,12.07,-0.67,Free-flow
Concert,54769,Highway,154.5135,30.94,9.88,Moderate
Parade,66319,Suburban,137.3391,33.58,9.73,Moderate
Concert,45341,Suburban,19.7977,86.78,61.37,Gridlock
Accident,710,Suburban,164.699,30.72,9.37,Moderate
Construction,298,Urban,276.5916,6.55,2.39,Free-flow
Sporting Event,90047,Rural,154.3301,30.78,8.87,Moderate
Construction,647,Urban,273.7466,9.83,1.43,Free-flow
Concert,81817,Suburban,280.7984,8.44,0.74,Free-flow
Sporting Event,27381,Urban,165.6847,31.64,12.17,Moderate
Construction,498,Suburban,293.8074,10.38,1.65,Free-flow
Parade,98172,Highway,161.1739,27.19,8.46,Moderate
Accident,173,Suburban,24.2306,86.32,58.1,Gridlock
Accident,283,Highway,162.2282,28.89,8.61,Moderate
Accident,504,Suburban,279.9549,10.2,1.13,Free-flow
Concert,3227,Urban,254.7164,8.36,1.37,Free-flow
Accident,952,Urban,90.9818,63.51,23.82,Heavy
Construction,78,Urban,182.1638,25.25,10.21,Moderate
Sporting Event,6374,Urban,254.5957,9.7,2.79,Free-flow
Accident,17,Highway,312.8817,11.29,1.34,Free-flow
